orig_gene_id,orig_run_id,orig_rag_enabled,orig_mutation_op,orig_eligible_for_rag,orig_parent_id,orig_parent_path,orig_was_fallback,orig_test_acc,orig_params,orig_val_acc,orig_train_time_s,orig_prompt_path,orig_prompt_chars
xXxLxt3LsiKGfFCY3T83VNOxnKX,nemotron_rag_text_20260311_022245,false,TEMPLATE_BASED,True,xXxMlaCgEJwIqZIMYS9hgHiLJ9Q,sota/ExquisiteNetV2/models/network_xXxMlaCgEJwIqZIMYS9hgHiLJ9Q.py,False,0.832099974155426,518230.0,0.8476999998092651,398.4503879547119,scripts/rag_replay/datasets/prompts/xXxLxt3LsiKGfFCY3T83VNOxnKX.txt,1323
xXxNL0r4Xw5qD1RAKFMk7jnbxnJ,nemotron_rag_text_20260311_022245,false,TEMPLATE_BASED,True,xXxvyqT7sjF7ZeMxZIxBmu226JG,sota/ExquisiteNetV2/models/network_xXxvyqT7sjF7ZeMxZIxBmu226JG.py,False,0.8565999865531921,521470.0,0.8629999756813049,377.55886459350586,scripts/rag_replay/datasets/prompts/xXxNL0r4Xw5qD1RAKFMk7jnbxnJ.txt,1343
xXxPqqhSsIzj0UxTMmSXcOMPHIE,nemotron_rag_text_20260311_022245,false,TEMPLATE_BASED,True,xXxKRYnRoYDJzOHh6gApUZ0h7SK,sota/ExquisiteNetV2/models/network_xXxKRYnRoYDJzOHh6gApUZ0h7SK.py,True,0.8707999587059021,518446.0,0.8815000057220459,409.74110317230225,scripts/rag_replay/datasets/prompts/xXxPqqhSsIzj0UxTMmSXcOMPHIE.txt,1758
xXxQMtVmAiUmslxKXqa9HFDSZ97,nemotron_rag_text_20260311_022245,false,TEMPLATE_BASED,True,xXx3T2owu9yBQMCUgOMADUgiOr7,sota/ExquisiteNetV2/models/network_xXx3T2owu9yBQMCUgOMADUgiOr7.py,False,0.832099974155426,518230.0,0.8476999998092651,378.1351008415222,scripts/rag_replay/datasets/prompts/xXxQMtVmAiUmslxKXqa9HFDSZ97.txt,3627
xXxQy97jTaLZHyu9DwUUJUK8wnP,nemotron_baseline_20260311_022419,false,TEMPLATE_BASED,True,xXx6msbUwyvk2J9vE7Si1guqvMI,sota/ExquisiteNetV2/models/network_xXx6msbUwyvk2J9vE7Si1guqvMI.py,False,0.852400004863739,910642.0,0.8658999800682068,393.5455729961395,scripts/rag_replay/datasets/prompts/xXxQy97jTaLZHyu9DwUUJUK8wnP.txt,3760
xXxRiXCSKm5S6bGPLFF5YL3mDws,nemotron_rag_text_20260311_022245,false,TEMPLATE_BASED,True,xXxwyIEVE30Kvmw6ebneOZ3pbFM,sota/ExquisiteNetV2/models/network_xXxwyIEVE30Kvmw6ebneOZ3pbFM.py,True,0.833899974822998,1742098.0,0.8398000001907349,394.6283206939697,scripts/rag_replay/datasets/prompts/xXxRiXCSKm5S6bGPLFF5YL3mDws.txt,2973
xXxSkCwlm8Kh8DpCOYGnkpYxRNJ,nemotron_rag_text_20260311_022245,false,TEMPLATE_BASED,True,xXxerYEpSUys3KnjvtDP8fxQ8YX,sota/ExquisiteNetV2/models/network_xXxerYEpSUys3KnjvtDP8fxQ8YX.py,False,0.8525999784469604,518446.0,0.8597999811172485,370.3978474140167,scripts/rag_replay/datasets/prompts/xXxSkCwlm8Kh8DpCOYGnkpYxRNJ.txt,1849
xXxTK6Ncfg7zVuhZvoLlaRcgw7n,nemotron_rag_text_20260311_022245,false,TEMPLATE_BASED,True,xXxIyd3BdHLXN7N34O9aj81zPJe,sota/ExquisiteNetV2/models/network_xXxIyd3BdHLXN7N34O9aj81zPJe.py,False,0.832099974155426,518230.0,0.8476999998092651,379.73682498931885,scripts/rag_replay/datasets/prompts/xXxTK6Ncfg7zVuhZvoLlaRcgw7n.txt,1797
xXxUcFv3TvuNQFTBFdoc3CupoAm,nemotron_baseline_20260311_022419,false,TEMPLATE_BASED,True,xXxshSnaPvrcrKSyGB5MyKPstBH,sota/ExquisiteNetV2/models/network_xXxshSnaPvrcrKSyGB5MyKPstBH.py,True,0.8562999963760376,935197.0,0.8626999855041504,387.90332436561584,scripts/rag_replay/datasets/prompts/xXxUcFv3TvuNQFTBFdoc3CupoAm.txt,3269
xXxWmIgZ24zvS812HGucDkPGq7r,nemotron_rag_text_20260311_022245,false,TEMPLATE_BASED,True,xXxlCiV9rboKW9KMcOPRujbMc6R,sota/ExquisiteNetV2/models/network_xXxlCiV9rboKW9KMcOPRujbMc6R.py,True,0.832099974155426,518230.0,0.8476999998092651,383.3098793029785,scripts/rag_replay/datasets/prompts/xXxWmIgZ24zvS812HGucDkPGq7r.txt,1297
xXxZN1UubOsqLVxwp1KtgTSBA2W,nemotron_baseline_20260311_022419,false,TEMPLATE_BASED,True,xXxEwTPJ8zgm6wzQH2rfJ965UIM,sota/ExquisiteNetV2/models/network_xXxEwTPJ8zgm6wzQH2rfJ965UIM.py,True,0.8551999926567078,935218.0,0.8671000003814697,404.7122235298157,scripts/rag_replay/datasets/prompts/xXxZN1UubOsqLVxwp1KtgTSBA2W.txt,1505
xXxbO68dvdm7BqMWjFAKk1KiRr0,nemotron_rag_text_20260311_022245,false,TEMPLATE_BASED,True,xXxDhRLpS64e4S50x6HyHIXnFL4,sota/ExquisiteNetV2/models/network_xXxDhRLpS64e4S50x6HyHIXnFL4.py,False,0.832099974155426,518230.0,0.8476999998092651,397.0829155445099,scripts/rag_replay/datasets/prompts/xXxbO68dvdm7BqMWjFAKk1KiRr0.txt,4081
xXxd5IYWYUZR901nXqvn37BYd62,nemotron_rag_text_20260311_022245,false,TEMPLATE_BASED,True,xXxXPa5RqaZP1ugPfPjlOFsrD9n,sota/ExquisiteNetV2/models/network_xXxXPa5RqaZP1ugPfPjlOFsrD9n.py,False,0.8565999865531921,722482.0,0.8615999817848206,377.63765501976013,scripts/rag_replay/datasets/prompts/xXxd5IYWYUZR901nXqvn37BYd62.txt,3427
xXxesxeQuJk5kWm7u6dNb7e0JLP,nemotron_baseline_20260311_022419,false,TEMPLATE_BASED,True,xXxdtyokL6v7Vk5aDQRKAu8LDL5,sota/ExquisiteNetV2/models/network_xXxdtyokL6v7Vk5aDQRKAu8LDL5.py,False,0.832099974155426,518230.0,0.8476999998092651,390.60501980781555,scripts/rag_replay/datasets/prompts/xXxesxeQuJk5kWm7u6dNb7e0JLP.txt,1326
xXxtjO8mGYIlJjWkHaxdycKcagW,nemotron_rag_text_20260311_022245,false,TEMPLATE_BASED,True,xXxUUzHjoUaVGkO62dvL3K4jJKM,sota/ExquisiteNetV2/models/network_xXxUUzHjoUaVGkO62dvL3K4jJKM.py,True,0.832099974155426,518230.0,0.8476999998092651,403.0195119380951,scripts/rag_replay/datasets/prompts/xXxtjO8mGYIlJjWkHaxdycKcagW.txt,3605
xXxy014nhfzDk4ONn4gNLp5PXHz,nemotron_rag_text_20260311_022245,false,TEMPLATE_BASED,True,xXxz3vtTVuXQM0NmUpEUyZQAqH6,sota/ExquisiteNetV2/models/network_xXxz3vtTVuXQM0NmUpEUyZQAqH6.py,True,0.832099974155426,518230.0,0.8476999998092651,369.45125937461853,scripts/rag_replay/datasets/prompts/xXxy014nhfzDk4ONn4gNLp5PXHz.txt,1794
